cmd,time,pwmL,pwmR,encL,encR
5,23158,0,0,0,0
5,23168,0,0,0,0
5,23178,0,0,0,0
5,23188,2,2,0,0
5,23198,2,2,0,0
5,23208,4,4,0,0
5,23218,4,4,0,0
5,23228,6,6,0,0
5,23238,6,6,0,0
5,23248,8,8,0,0
5,23258,8,8,0,0
5,23268,10,10,0,0
5,23278,10,10,0,0
5,23288,12,12,0,0
5,23298,12,12,0,0
5,23308,14,14,0,0
5,23318,14,14,0,0
5,23328,16,16,0,0
5,23339,16,16,0,0
5,23349,18,18,0,0
5,23359,18,18,0,1
5,23369,20,20,0,1
5,23379,20,20,0,1
5,23389,22,22,0,2
5,23399,22,22,0,2
5,23409,24,24,0,3
5,23419,24,24,0,3
5,23429,24,24,0,4
5,23439,26,26,0,4
5,23449,26,26,0,5
5,23459,28,28,1,6
5,23469,28,28,1,6
5,23479,30,30,2,7
5,23489,30,30,2,8
5,23499,32,32,3,9
5,23510,32,32,3,9
5,23520,34,34,4,10
5,23530,34,34,5,11
5,23540,36,36,6,13
5,23550,36,36,7,14
5,23560,38,38,8,15
5,23570,38,38,9,16
5,23580,40,40,10,17
5,23590,40,40,11,19
5,23600,42,42,13,20
5,23610,42,42,15,22
5,23620,44,44,16,24
5,23630,44,44,18,26
5,23640,46,46,20,28
5,23650,46,46,22,31
5,23660,48,48,24,33
5,23670,48,48,26,36
5,23680,51,51,28,38
5,23690,51,51,31,41
5,23700,53,53,33,44
5,23710,53,53,36,47
5,23720,55,55,39,51
5,23730,55,55,42,54
5,23740,57,57,44,57
5,23750,57,57,48,61
5,23760,59,59,51,64
5,23770,59,59,54,68
5,23780,61,61,57,72
5,23790,61,61,61,75
5,23800,63,63,64,79
5,23810,63,63,69,83
5,23820,65,65,73,87
5,23830,65,65,75,92
5,23840,67,67,80,96
5,23851,67,67,84,101
5,23861,69,69,88,105
5,23871,69,69,91,109
5,23881,71,71,96,113
5,23891,71,71,100,118
5,23901,73,73,104,122
5,23911,73,73,109,127
5,23921,73,73,114,132
5,23931,75,75,118,137
5,23941,75,75,123,141
5,23951,77,77,127,146
5,23961,77,77,132,151
5,23971,79,79,137,156
5,23981,79,79,142,161
5,23991,81,81,147,166
5,24001,81,81,152,171
5,24011,83,83,157,176
5,24022,83,83,162,182
5,24032,85,85,169,187
5,24042,87,87,174,192
5,24052,87,87,179,198
5,24062,89,89,185,203
5,24072,89,89,189,208
5,24082,89,89,195,214
5,24092,91,91,200,219
5,24102,91,91,205,225
5,24112,93,93,210,230
5,24122,93,93,216,235
5,24132,95,95,221,241
5,24142,95,95,226,246
5,24152,97,97,231,251
5,24162,97,97,238,257
5,24172,100,100,244,262
5,24182,100,100,250,267
5,24192,100,100,255,272
5,24202,100,100,262,276
5,24212,100,100,268,282
5,24222,100,100,277,287
5,24232,100,100,282,293
5,24242,100,100,287,298
5,24252,100,100,294,304
5,24262,100,100,302,310
5,24272,100,100,308,314
5,24282,100,100,315,320
5,24292,100,100,321,325
5,24302,100,100,327,331
5,24312,99,99,333,337
5,24322,99,99,338,342
5,24332,99,99,344,348
5,24342,99,99,350,354
5,24352,99,99,356,360
5,24363,99,99,361,366
5,24373,99,99,367,372
5,24383,99,99,373,378
5,24393,99,99,379,383
5,24403,99,99,385,389
5,24413,99,99,390,395
5,24423,99,99,396,399
5,24433,99,99,402,405
5,24443,99,99,408,411
5,24453,99,99,413,416
5,24463,99,99,419,422
5,24473,99,99,425,428
5,24483,99,99,430,433
5,24493,99,99,436,438
5,24503,99,99,441,444
5,24513,99,99,447,450
5,24523,99,99,452,455
5,24534,99,99,460,461
5,24544,99,99,467,467
5,24554,99,99,472,473
5,24564,99,99,478,478
5,24574,99,99,484,484
5,24584,99,99,489,489
5,24594,99,99,495,495
5,24604,99,99,501,501
5,24614,99,99,506,506
5,24624,99,99,511,512
5,24634,99,99,518,517
5,24644,99,99,524,523
5,24654,99,99,529,529
5,24664,99,99,534,534
5,24674,99,99,540,540
5,24684,99,99,547,546
5,24694,99,99,553,551
5,24704,99,99,558,557
5,24714,99,99,564,562
5,24724,99,99,570,568
5,24734,99,99,575,574
5,24744,99,99,582,579
5,24754,99,99,587,584
5,24764,99,99,593,590
5,24774,99,99,599,596
5,24784,99,99,605,601
5,24794,99,99,610,606
5,24804,99,99,617,611
5,24814,99,99,622,617
5,24824,99,99,628,623
5,24834,99,99,635,628
5,24844,99,99,640,634
5,24854,99,99,646,640
5,24864,99,99,652,646
5,24875,99,99,658,651
5,24885,99,99,663,657
5,24895,99,99,669,663
5,24905,99,99,678,668
5,24915,99,99,683,673
5,24925,99,99,689,678
5,24935,99,99,695,684
5,24945,99,99,701,690
5,24955,99,99,707,695
5,24965,99,99,713,701
5,24975,99,99,719,706
5,24985,98,98,726,712
5,24995,98,98,731,718
5,25005,98,98,736,723
5,25015,98,98,742,728
5,25025,98,98,749,735
5,25035,98,98,756,741
5,25046,98,98,762,747
5,25056,98,98,770,752
5,25066,98,98,777,758
5,25076,98,98,782,764
5,25086,98,98,788,769
5,25096,98,98,793,775
5,25106,98,98,800,780
5,25116,98,98,806,786
5,25126,98,98,812,792
5,25136,98,98,818,797
5,25146,98,98,825,802
5,25156,98,98,831,808
5,25166,97,97,838,814
5,25176,97,97,843,819
5,25186,97,97,850,825
5,25196,97,97,856,831
5,25206,97,97,861,837
5,25216,97,97,867,842
5,25226,97,97,874,847
5,25236,97,97,880,853
5,25246,97,97,886,858
5,25256,97,97,894,864
5,25266,97,97,901,868
5,25276,97,97,907,874
5,25286,96,96,912,880
5,25296,96,96,918,886
5,25306,96,96,924,891
5,25316,96,96,931,897
5,25326,96,96,937,903
5,25336,96,96,943,908
5,25346,96,96,948,913
5,25356,96,96,954,919
5,25366,96,96,961,924
5,25376,96,96,966,930
5,25387,95,95,973,934
5,25397,95,95,978,940
5,25407,95,95,984,946
5,25417,95,95,989,952
5,25427,95,95,995,957
5,25437,95,95,1002,962
5,25447,95,95,1007,967
5,25457,95,95,1013,973
5,25467,94,94,1018,979
5,25477,94,94,1024,984
5,25487,94,94,1031,990
5,25497,94,94,1037,996
5,25507,94,94,1044,1000
5,25517,94,94,1049,1006
5,25527,94,94,1056,1011
5,25537,94,94,1064,1017
5,25547,93,93,1069,1023
5,25558,93,93,1075,1029
5,25568,93,93,1082,1035
5,25578,93,93,1089,1041
5,25588,93,93,1094,1047
5,25598,93,93,1100,1053
5,25608,92,92,1105,1058
5,25618,92,92,1111,1064
5,25628,92,92,1117,1069
5,25638,92,92,1124,1074
5,25648,92,92,1129,1079
5,25658,92,92,1135,1085
5,25668,91,91,1143,1091
5,25678,91,91,1148,1096
5,25688,91,91,1155,1102
5,25698,91,91,1161,1107
5,25708,90,90,1166,1113
5,25718,90,90,1173,1118
5,25728,90,90,1178,1123
5,25738,90,90,1185,1129
5,25748,90,90,1191,1136
5,25758,89,89,1197,1141
5,25768,89,89,1204,1146
5,25778,89,89,1209,1151
5,25788,89,89,1215,1157
5,25798,89,89,1220,1163
5,25808,88,88,1226,1168
5,25818,88,88,1231,1174
5,25828,88,88,1238,1178
5,25838,88,88,1243,1184
5,25848,87,87,1251,1190
5,25858,87,87,1257,1195
5,25868,87,87,1262,1201
5,25878,87,87,1268,1206
5,25888,86,86,1274,1212
5,25899,86,86,1279,1218
5,25909,86,86,1286,1224
5,25919,85,85,1292,1229
5,25929,85,85,1298,1235
5,25939,84,84,1304,1240
5,25949,84,84,1309,1245
5,25959,84,84,1316,1251
5,25969,84,84,1322,1256
5,25979,83,83,1328,1262
5,25989,83,83,1333,1267
5,25999,83,83,1338,1273
5,26009,83,83,1345,1277
5,26019,83,83,1350,1283
5,26029,82,82,1355,1288
5,26039,82,82,1361,1294
5,26049,81,81,1366,1299
5,26059,81,81,1372,1305
5,26070,81,81,1377,1310
5,26080,80,80,1383,1316
5,26090,80,80,1388,1322
5,26100,79,79,1394,1327
5,26110,79,79,1399,1333
5,26120,78,78,1405,1337
5,26130,78,78,1411,1343
5,26140,78,78,1418,1348
5,26150,78,78,1424,1354
5,26160,77,77,1429,1359
5,26170,77,77,1434,1364
5,26180,76,76,1440,1370
5,26190,76,76,1445,1375
5,26200,75,75,1450,1380
5,26210,75,75,1455,1386
5,26220,74,74,1461,1391
5,26230,74,74,1467,1397
5,26240,74,74,1472,1401
5,26250,74,74,1477,1407
5,26260,73,73,1482,1413
5,26270,73,73,1487,1418
5,26280,72,72,1493,1424
5,26290,72,72,1497,1428
5,26300,71,71,1503,1434
5,26310,71,71,1509,1438
5,26320,70,70,1514,1444
5,26330,70,70,1519,1449
5,26340,69,69,1525,1453
5,26350,69,69,1531,1459
5,26360,68,68,1538,1464
5,26370,68,68,1543,1469
5,26380,67,67,1548,1474
5,26390,67,67,1553,1480
5,26400,66,66,1559,1485
5,26411,66,66,1565,1491
5,26421,65,65,1571,1496
5,26431,65,65,1578,1499
5,26441,64,64,1584,1504
5,26451,64,64,1589,1509
5,26461,63,63,1595,1514
5,26471,63,63,1601,1519
5,26481,62,62,1606,1524
5,26491,62,62,1611,1529
5,26501,61,61,1616,1534
5,26511,61,61,1621,1539
5,26521,59,59,1626,1545
5,26531,59,59,1631,1550
5,26541,58,58,1637,1555
5,26551,58,58,1643,1560
5,26561,57,57,1648,1565
5,26571,57,57,1653,1570
5,26582,56,56,1658,1575
5,26592,56,56,1663,1580
5,26602,55,55,1668,1585
5,26612,55,55,1673,1590
5,26622,53,53,1678,1595
5,26632,53,53,1682,1600
5,26642,52,52,1687,1605
5,26652,52,52,1692,1610
5,26662,51,51,1697,1615
5,26672,51,51,1701,1619
5,26682,49,49,1705,1624
5,26692,49,49,1710,1629
5,26702,48,48,1714,1634
5,26712,48,48,1719,1638
5,26722,47,47,1723,1643
5,26732,47,47,1728,1648
5,26742,45,45,1732,1653
5,26752,45,45,1736,1658
5,26762,44,44,1741,1662
5,26772,44,44,1746,1666
5,26782,43,43,1750,1671
5,26792,43,43,1754,1676
5,26802,41,41,1758,1680
5,26812,41,41,1762,1685
5,26822,40,40,1767,1689
5,26832,40,40,1771,1694
5,26842,38,38,1775,1698
5,26852,38,38,1779,1702
5,26862,37,37,1783,1705
5,26872,37,37,1787,1709
5,26882,35,35,1791,1713
5,26892,35,35,1795,1717
5,26902,33,33,1799,1721
5,26912,33,33,1803,1726
5,26923,32,32,1806,1730
5,26933,32,32,1810,1734
5,26943,30,30,1814,1738
5,26953,30,30,1818,1742
5,26963,29,29,1822,1746
5,26973,29,29,1825,1749
5,26983,27,27,1829,1753
5,26993,27,27,1833,1757
5,27003,25,25,1836,1761
5,27013,25,25,1840,1764
5,27023,24,24,1843,1767
5,27033,24,24,1847,1771
5,27043,22,22,1850,1774
5,27053,22,22,1853,1777
5,27063,20,20,1856,1781
5,27073,20,20,1860,1784
5,27083,19,19,1863,1787
5,27094,19,19,1866,1790
5,27104,17,17,1869,1793
5,27114,17,17,1872,1796
5,27124,15,15,1874,1800
5,27134,15,15,1877,1802
5,27144,13,13,1880,1805
5,27154,13,13,1882,1808
5,27164,12,12,1885,1810
5,27174,12,12,1887,1813
5,27184,10,10,1889,1815
5,27194,10,10,1891,1818
5,27204,8,8,1893,1820
5,27214,8,8,1895,1822
5,27224,6,6,1897,1824
5,27234,6,6,1899,1826
5,27244,4,4,1900,1828
5,27254,4,4,1902,1830
5,27264,2,2,1903,1831
5,27274,2,2,1904,1833
5,27284,1,1,1906,1835
5,27294,1,1,1907,1836
5,27304,0,0,1908,1837
5,27314,0,0,1909,1838
5,27324,-2,-2,1909,1839
5,27334,-2,-2,1910,1839
5,27344,-4,-4,1910,1840
5,27354,-4,-4,1911,1841
5,27364,-6,-6,1911,1841
5,27374,-6,-6,1911,1841
5,27384,-8,-8,1911,1841
5,27394,-8,-8,1911,1841
5,27404,-10,-10,1911,1841
5,27414,-10,-10,1911,1841
5,27424,-12,-12,1911,1841
5,27435,-14,-14,1910,1841
5,27445,-14,-14,1910,1841
5,27455,-16,-16,1910,1840
5,27465,-16,-16,1910,1840
5,27475,-18,-18,1910,1840
5,27485,-18,-18,1910,1839
5,27495,-18,-18,1910,1838
5,27505,-20,-20,1910,1838
5,27515,-22,-22,1909,1837
5,27525,-22,-22,1909,1836
5,27535,-22,-22,1908,1835
5,27545,-23,-23,1907,1834
5,27555,-23,-23,1906,1833
5,27565,-25,-25,1906,1832
5,27575,-25,-25,1905,1832
5,27585,-27,-27,1904,1831
5,27595,-27,-27,1903,1830
5,27606,-29,-29,1902,1829
5,27616,-31,-31,1901,1828
5,27626,-31,-31,1899,1827
5,27636,-33,-33,1898,1826
5,27646,-33,-33,1897,1825
5,27656,-35,-35,1896,1824
5,27666,-35,-35,1895,1822
5,27676,-37,-37,1894,1821
5,27686,-37,-37,1892,1819
5,27696,-39,-39,1891,1818
5,27706,-39,-39,1890,1816
5,27716,-41,-41,1888,1813
5,27726,-41,-41,1886,1811
5,27736,-43,-43,1884,1809
5,27746,-43,-43,1881,1807
5,27756,-43,-43,1879,1804
5,27766,-45,-45,1876,1802
5,27776,-47,-47,1874,1800
5,27786,-47,-47,1872,1797
5,27796,-49,-49,1869,1794
5,27806,-49,-49,1866,1791
5,27816,-51,-51,1863,1788
5,27826,-51,-51,1860,1785
5,27836,-52,-52,1857,1782
5,27846,-52,-52,1854,1779
5,27856,-54,-54,1850,1775
5,27866,-54,-54,1847,1772
5,27876,-56,-56,1844,1768
5,27886,-56,-56,1840,1765
5,27896,-58,-58,1836,1763
5,27906,-58,-58,1833,1759
5,27916,-58,-58,1829,1755
5,27926,-60,-60,1825,1751
5,27936,-60,-60,1821,1747
5,27947,-61,-61,1816,1744
5,27957,-63,-63,1812,1740
5,27967,-63,-63,1808,1736
5,27977,-65,-65,1804,1732
5,27987,-65,-65,1799,1727
5,27997,-67,-67,1795,1723
5,28007,-67,-67,1791,1719
5,28017,-68,-68,1786,1716
5,28027,-68,-68,1782,1711
5,28037,-70,-70,1777,1706
5,28047,-70,-70,1773,1702
5,28057,-72,-72,1768,1697
5,28067,-72,-72,1763,1692
5,28077,-73,-73,1759,1688
5,28087,-73,-73,1754,1683
5,28097,-75,-75,1749,1678
5,28107,-75,-75,1744,1673
5,28118,-76,-76,1739,1669
5,28128,-76,-76,1734,1664
5,28138,-78,-78,1729,1659
5,28148,-78,-78,1724,1654
5,28158,-79,-79,1719,1649
5,28168,-79,-79,1715,1644
5,28178,-81,-81,1710,1639
5,28188,-81,-81,1704,1634
5,28198,-82,-82,1699,1628
5,28208,-82,-82,1695,1624
5,28218,-83,-83,1689,1618
5,28228,-83,-83,1684,1610
5,28238,-85,-85,1679,1605
5,28248,-85,-85,1674,1600
5,28258,-86,-86,1669,1595
5,28268,-86,-86,1663,1590
5,28278,-87,-87,1658,1582
5,28288,-87,-87,1653,1578
5,28298,-88,-88,1648,1572
5,28308,-88,-88,1643,1566
5,28318,-89,-89,1637,1561
5,28328,-89,-89,1632,1555
5,28338,-90,-90,1627,1549
5,28348,-90,-90,1621,1544
5,28358,-91,-91,1616,1539
5,28368,-91,-91,1610,1533
5,28378,-92,-92,1605,1528
5,28388,-92,-92,1600,1523
5,28398,-93,-93,1594,1517
5,28408,-93,-93,1589,1512
5,28418,-94,-94,1584,1507
5,28428,-94,-94,1578,1501
5,28438,-95,-95,1572,1496
5,28448,-95,-95,1567,1491
5,28459,-96,-96,1561,1485
5,28469,-96,-96,1555,1480
5,28479,-96,-96,1550,1474
5,28489,-96,-96,1544,1469
5,28499,-97,-97,1538,1463
5,28509,-97,-97,1533,1458
5,28519,-97,-97,1528,1453
5,28529,-97,-97,1522,1447
5,28539,-98,-98,1516,1442
5,28549,-98,-98,1511,1437
5,28559,-98,-98,1506,1432
5,28569,-98,-98,1500,1426
5,28579,-99,-99,1495,1421
5,28589,-99,-99,1490,1416
5,28599,-99,-99,1484,1410
5,28609,-99,-99,1478,1404
5,28619,-99,-99,1473,1399
5,28630,-99,-99,1467,1393
5,28640,-99,-99,1461,1386
5,28650,-99,-99,1455,1380
5,28660,-99,-99,1450,1375
5,28670,-99,-99,1444,1369
5,28680,-100,-100,1439,1364
5,28690,-100,-100,1433,1359
5,28700,-99,-99,1427,1353
5,28710,-99,-99,1421,1348
5,28720,-99,-99,1416,1342
5,28730,-99,-99,1410,1337
5,28740,-99,-99,1405,1331
5,28750,-99,-99,1399,1326
5,28760,-99,-99,1394,1321
5,28770,-99,-99,1388,1315
5,28780,-99,-99,1382,1306
5,28790,-99,-99,1376,1301
5,28800,-98,-98,1371,1296
5,28810,-98,-98,1365,1290
5,28820,-98,-98,1359,1284
5,28830,-98,-98,1353,1279
5,28840,-97,-97,1348,1273
5,28850,-97,-97,1342,1268
5,28860,-96,-96,1337,1263
5,28870,-96,-96,1331,1257
5,28880,-96,-96,1325,1251
5,28890,-96,-96,1320,1246
5,28900,-95,-95,1314,1241
5,28910,-95,-95,1308,1235
5,28920,-94,-94,1303,1230
5,28930,-94,-94,1298,1225
5,28940,-93,-93,1292,1219
5,28950,-93,-93,1287,1214
5,28960,-92,-92,1281,1207
5,28971,-92,-92,1275,1201
5,28981,-91,-91,1270,1196
5,28991,-90,-90,1264,1189
5,29001,-90,-90,1259,1184
5,29011,-89,-89,1253,1178
5,29021,-89,-89,1248,1173
5,29031,-89,-89,1242,1168
5,29041,-87,-87,1237,1161
5,29051,-87,-87,1231,1156
5,29061,-86,-86,1226,1151
5,29071,-86,-86,1221,1146
5,29081,-84,-84,1215,1140
5,29091,-84,-84,1210,1135
5,29101,-83,-83,1205,1130
5,29111,-83,-83,1200,1125
5,29121,-81,-81,1194,1119
5,29131,-81,-81,1189,1114
5,29142,-79,-79,1183,1109
5,29152,-79,-79,1178,1103
5,29162,-79,-79,1172,1098
5,29172,-78,-78,1167,1091
5,29182,-78,-78,1161,1086
5,29192,-76,-76,1156,1081
5,29202,-76,-76,1151,1076
5,29212,-74,-74,1145,1070
5,29222,-72,-72,1140,1065
5,29232,-72,-72,1135,1059
5,29242,-70,-70,1130,1054
5,29252,-70,-70,1125,1048
5,29262,-68,-68,1119,1043
5,29272,-68,-68,1115,1038
5,29282,-65,-65,1109,1033
5,29292,-65,-65,1104,1028
5,29302,-63,-63,1099,1023
5,29312,-63,-63,1094,1018
5,29322,-63,-63,1089,1013
5,29332,-61,-61,1084,1008
5,29342,-61,-61,1079,1003
5,29352,-58,-58,1074,998
5,29362,-58,-58,1069,993
5,29372,-56,-56,1064,987
5,29382,-56,-56,1059,982
5,29392,-53,-53,1055,977
5,29402,-51,-51,1050,972
5,29412,-51,-51,1045,967
5,29422,-48,-48,1040,962
5,29432,-48,-48,1036,957
5,29442,-45,-45,1031,953
5,29452,-45,-45,1027,948
5,29462,-42,-42,1022,944
5,29472,-42,-42,1017,939
5,29483,-40,-40,1013,934
5,29493,-40,-40,1008,930
5,29503,-37,-37,1004,925
5,29513,-37,-37,999,921
5,29523,-34,-34,995,916
5,29533,-34,-34,991,912
5,29543,-31,-31,987,908
5,29553,-31,-31,983,903
5,29563,-28,-28,979,899
5,29573,-28,-28,975,896
5,29583,-25,-25,972,892
5,29593,-25,-25,968,888
5,29603,-22,-22,964,884
5,29613,-22,-22,961,881
5,29623,-19,-19,957,877
5,29633,-19,-19,954,873
5,29643,-16,-16,950,870
5,29654,-16,-16,947,866
5,29664,-12,-12,944,862
5,29674,-12,-12,941,859
5,29684,-9,-9,937,856
5,29694,-9,-9,934,853
5,29704,-6,-6,932,850
5,29714,-6,-6,929,847
5,29724,-3,-3,926,844
5,29734,-3,-3,924,841
5,29744,0,0,921,839
5,29754,0,0,919,837
5,29764,3,3,916,834
5,29774,3,3,914,832
5,29784,6,6,912,830
5,29794,6,6,910,828
5,29804,9,9,909,827
5,29814,9,9,907,825
5,29824,13,13,906,824
5,29834,13,13,904,823
5,29844,16,16,903,822
5,29854,16,16,903,822
5,29864,19,19,902,821
5,29874,19,19,902,821
5,29884,22,22,902,821
5,29894,22,22,902,821
5,29904,26,26,902,822
5,29914,26,26,903,822
5,29924,29,29,903,823
5,29934,29,29,904,823
5,29944,32,32,905,824
5,29954,32,32,906,825
5,29964,35,35,907,826
5,29974,35,35,909,827
5,29984,38,38,910,828
5,29995,38,38,911,829
5,30005,41,41,913,831
5,30015,41,41,914,833
5,30025,44,44,916,835
5,30035,44,44,918,837
5,30045,48,48,920,839
5,30055,48,48,922,842
5,30065,50,50,924,844
5,30075,50,50,927,847
5,30085,53,53,930,850
5,30095,53,53,933,853
5,30105,56,56,935,856
5,30115,56,56,939,859
5,30125,59,59,941,862
5,30135,59,59,945,866
5,30145,62,62,948,870
5,30155,62,62,952,873
5,30166,65,65,955,877
5,30176,65,65,959,881
5,30186,67,67,963,885
5,30196,67,67,967,889
5,30206,70,70,971,892
5,30216,70,70,975,896
5,30226,72,72,979,901
5,30236,72,72,983,905
5,30246,75,75,988,910
5,30256,75,75,992,914
5,30266,77,77,998,918
5,30276,77,77,1003,922
5,30286,79,79,1008,927
5,30296,79,79,1013,931
5,30306,81,81,1019,937
5,30316,81,81,1025,942
5,30326,83,83,1030,947
5,30336,83,83,1034,951
5,30346,85,85,1040,957
5,30356,85,85,1045,962
5,30366,87,87,1051,967
5,30376,87,87,1058,972
5,30386,89,89,1063,977
5,30396,89,89,1068,982
5,30406,90,90,1073,988
